BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
bn_ASV_000279	0	0	9	0	0	0	0	0	0	0	14	34	24	3	14	0	0	0	0	0	0	0	6	15	28	8	6	0	0	0	0	0	0	0	5	16	1	0	0	0	0	0	0	0	0	0	16	14	16	0	1	0	0	0	0	0	0	0	31	30	14	0	4	0	0	0	0	0	0	0	11	27	19	8	8	0	0	0	0	0	0	0	8	29	26	0	9	0	0	0	0	0	0	0	5	21	17	3	6	0	0	0	0	0	0	0	3	12	0	0	2	0	0	0	0	0	0	0	6	16
bp_ASV_000311	0	2	0	0	0	0	0	0	0	0	15	36	12	20	0	0	0	0	0	0	22	0	7	15	14	4	1	0	0	0	0	0	0	1	0	9	4	0	0	0	0	0	0	0	0	4	16	13	17	2	0	0	0	0	0	0	0	1	10	2	40	0	0	0	0	0	0	0	0	0	0	21	28	9	4	0	0	0	0	0	0	4	9	26	11	7	1	0	0	0	0	0	0	2	3	6	11	25	4	1	0	0	0	0	0	0	3	18	5	10	8	0	0	0	0	0	1	0	5	31
en_ASV_00570	54	9	2	0	0	0	0	6	0	0	0	11	12	28	3	0	0	0	0	0	0	0	6	30	50	11	3	0	0	0	0	0	0	0	73	25	48	58	0	1	0	0	0	0	0	1	11	2	12	2	0	0	0	0	0	0	0	0	38	102	29	12	11	0	0	0	0	0	0	1	9	9	23	7	16	0	0	0	0	0	0	1	23	41	18	12	6	0	0	0	0	0	0	2	25	27	12	3	7	0	0	0	0	0	0	0	34	42	5	0	2	0	0	0	0	0	0	0	0	16
bn_ASV_000113	9	0	0	0	0	0	0	0	0	0	3	41	15	1	0	0	0	0	0	0	0	0	54	29	41	0	2	0	0	0	0	0	0	1	25	18	7	8	0	0	0	0	0	0	3	2	20	25	29	0	0	0	0	0	0	0	0	3	54	32	34	4	3	0	0	0	0	0	0	0	35	41	20	14	7	0	0	0	0	0	2	2	26	44	23	10	6	0	0	0	0	0	0	1	25	31	19	7	2	0	0	0	0	0	0	0	24	10	0	3	0	0	0	0	0	0	0	0	17	31
bp_ASV_000113	19	4	0	0	0	0	0	0	2	13	70	64	52	0	0	0	0	0	0	0	13	0	26	50	19	0	0	0	0	0	0	0	0	4	0	72	29	1	0	0	0	0	0	0	0	3	43	55	39	2	2	0	0	0	0	0	0	5	174	99	64	7	0	0	0	0	0	0	0	0	85	65	65	26	0	0	0	0	0	0	0	0	6	15	1	11	3	0	0	0	0	0	0	0	18	63	17	13	7	0	0	0	0	0	0	9	27	58	18	17	8	0	0	0	0	0	0	0	6	94
bn_ASV_000067	27	0	19	0	0	0	0	0	0	8	235	100	49	2	40	2	0	0	0	0	0	0	30	218	33	0	1	0	0	0	0	0	0	0	105	55	33	6	2	0	0	0	0	0	0	0	45	55	30	26	4	0	0	0	0	0	0	1	87	108	21	4	4	0	0	0	0	0	0	0	55	37	28	4	3	6	0	0	0	0	0	5	97	54	25	15	2	2	0	0	0	0	0	8	121	73	37	24	6	3	0	0	0	0	0	9	139	127	57	63	3	4	0	0	0	0	0	0	135	85
bn_ASV_000107	54	6	18	0	0	0	0	0	0	0	49	44	40	14	45	0	0	0	0	0	0	0	0	275	44	10	8	2	0	0	0	0	0	0	119	84	89	22	0	0	0	0	0	0	0	1	22	34	20	34	16	7	0	0	0	0	0	0	57	43	44	6	9	1	0	0	0	0	0	0	13	8	22	15	15	0	1	0	0	0	0	0	31	36	49	30	14	2	1	0	0	0	0	2	27	54	68	86	19	6	2	0	0	0	0	10	32	74	176	145	42	3	7	0	0	0	0	0	10	40
bn_ASV_000118	0	0	0	0	0	0	0	0	0	0	74	67	26	1	0	0	0	0	0	0	0	0	0	247	24	0	0	0	0	0	0	0	0	0	136	200	27	5	0	0	0	0	0	0	0	14	36	53	26	13	4	0	0	0	0	0	0	0	25	118	15	3	0	0	0	0	0	0	0	0	24	66	18	0	1	0	0	0	0	0	0	1	30	70	17	4	1	0	0	0	0	0	0	3	20	53	21	8	3	0	0	0	0	0	0	2	14	58	61	21	2	0	0	0	0	0	0	0	11	49
bp_ASV_000015	0	7	19	111	95	174	194	81	70	62	37	26	0	0	135	60	161	103	130	504	15	110	69	18	18	34	30	394	246	259	46	46	19	26	0	22	9	0	48	139	213	336	70	65	69	47	62	11	0	12	9	107	354	503	264	56	71	73	24	3	6	0	10	32	329	284	117	130	118	101	26	21	0	4	41	101	227	217	295	81	72	311	9	0	0	17	19	184	127	254	186	91	31	51	78	7	5	13	0	82	88	289	87	49	57	33	60	5	8	4	8	97	96	121	214	47	45	80	25	6
en_ASV_00547	6	40	4	17	0	0	0	0	34	24	13	61	31	26	22	6	0	0	0	0	0	4	20	35	48	0	20	0	0	0	0	0	0	0	8	10	19	28	0	0	0	0	0	0	0	0	30	36	37	17	9	0	0	0	0	0	0	7	19	19	23	0	0	22	14	17	0	0	0	0	6	80	39	28	13	0	3	2	0	0	0	3	15	42	30	18	5	2	3	4	0	0	0	2	19	25	26	13	7	0	1	2	0	0	0	0	26	25	19	14	2	0	0	0	0	0	0	7	21	25
